name: PyTrajectory 2
type: 3D
x: North | m
y: East  | m
z: Altitude | m

0.000   -> 0 0 2000
0.010   -> 0.25 0.0 2000.0
0.020   -> 0.49989238769247724 0.0 1999.9991300876468
0.030   -> 0.7496783576241943 3.2397415375169013e-06 1999.9974535826905
0.040   -> 0.9993601113469552 9.738502340374217e-06 1999.9950093694379
0.050   -> 1.248939659571921 1.95078441586385e-05 1999.9918366904335
0.060   -> 1.4984187860681564 3.254962020812416e-05 1999.9879751180943
0.070   -> 1.7477990115705553 4.88540742599786e-05 1999.9834645216383
0.080   -> 1.997081557929027 6.839803365287845e-05 1999.9783450289551
0.090   -> 2.246267312772342 9.114319971338573e-05 1999.972656983096
0.100   -> 2.4953567950020563 0.000117034540259727 1999.9664408931085
0.110   -> 2.744350121473367 0.00014599879001282035 1999.9597373789918
0.120   -> 2.993246975259211 0.00017794306581973295 1999.9525871106162
0.130   -> 3.2420465759298835 0.00021275360457857933 1999.9450307405332
0.140   -> 3.4907476523110295 0.0002502946326057922 1999.9371088306962
0.150   -> 3.739348418206025 0.0002904073758688888 1999.9288617732213
0.160   -> 3.987846551582391 0.00033290922098007115 1999.9203297054432
0.170   -> 4.236239177723644 0.00037759303706711654 1999.9115524196536
0.180   -> 4.484522856835766 0.0004242266685680976 1999.9025692680584
0.190   -> 4.7326935765692495 0.00047255260859936415 1999.893419063641
0.200   -> 4.980746749871835 0.000522287861792634 1999.8841399777718
0.210   -> 5.228677218522588 0.0005731240043679724 1999.8747694355582
0.220   -> 5.476479262614585 0.0006247274476997532 1999.8653440100645
0.230   -> 5.724146616151927 0.0006767399097545806 1999.855899316659
0.240   -> 5.971672488808986 0.0007287790965660477 1999.846469908836
0.250   -> 6.219049593768871 0.0007804395934158447 1999.8370891769302
0.260   -> 6.4662701814185946 0.0008312939626917144 1999.8277892511496
0.270   -> 6.71332607853618 0.0008808940425893716 1999.8186009103365
0.280   -> 6.960208732466758 0.0009287724380352592 1999.8095534977756
0.290   -> 7.206909259658444 0.0009744441925597962 1999.8006748452308
0.300   -> 7.453418497822192 0.001017408627480613 1999.7919912061975
0.310   -> 7.699727060900897 0.001057151332790016 1999.7835271991137
0.320   -> 7.945825395988228 0.0010931462926905607 1999.775305760977
0.330   -> 8.191703841332268 0.001124858127867176 1999.7673481115005
0.340   -> 8.437352684595513 0.0011517444363626438 1999.7596737275958
0.350   -> 8.682762220620779 0.0011732582153244752 1999.7523003276422
0.360   -> 8.927922808068347 0.0011888503468496115 1999.7452438646837
0.370   -> 9.172824924435929 0.0011979721325489953 1999.7385185274252
0.380   -> 9.417459655948926 0.0011999401623107823 1999.7321356459195
0.390   -> 9.661818365216106 0.0011940625953034752 1999.7261046968747
0.400   -> 9.905892683718017 0.0011796613623262884 1999.7204334625947
0.410   -> 10.149674562042069 0.0011560754783801175 1999.7151280398507
0.420   -> 10.393156316005784 0.001122665050541503 1999.7101928556783
0.430   -> 10.63633067132578 0.001078815212115877 1999.7056306829888
0.440   -> 10.879190806952021 0.0010239400158286198 1999.701442655606
0.450   -> 11.121730397230795 0.0009574862841072413 1999.6976282823896
0.460   -> 11.36394365295186 0.0008789374105693635 1999.6941854604454
0.470   -> 11.60582536119222 0.00078781709982699 1999.691110487719
0.480   -> 11.847370923701035 0.000683693024294372 1999.6883980755524
